Vardas Pavardė ND1 ND2 ND3 ND4 ND5 ND6 ND7 ND8 ND9 ND10 ND11 ND12 ND13 ND14 Egz.
Vardas323 Pavardė323 5 4 2 7 8 7 9 2 9 7 3 10 3 10 9
Vardas324 Pavardė324 9 10 4 9 7 5 9 3 1 0 5 6 2 2 10
Vardas325 Pavardė325 1 10 9 6 7 5 3 8 0 9 3 7 2 5 5
Vardas326 Pavardė326 10 7 4 5 6 5 5 5 3 8 9 4 9 4 7
Vardas327 Pavardė327 6 10 9 4 10 10 7 6 10 2 6 8 9 7 1
Vardas328 Pavardė328 8 9 10 7 10 8 8 0 9 0 9 3 9 1 3
Vardas329 Pavardė329 3 7 2 0 0 6 2 2 10 6 0 5 0 6 9
Vardas330 Pavardė330 9 7 1 6 4 9 3 4 5 8 4 6 9 9 8
Vardas331 Pavardė331 0 10 7 10 9 0 5 6 10 5 2 7 6 7 1
Vardas332 Pavardė332 9 6 2 2 3 6 9 8 10 2 3 8 5 4 6
Vardas333 Pavardė333 2 8 9 2 8 0 2 0 1 3 0 0 7 10 7
Vardas334 Pavardė334 2 10 8 4 0 8 0 9 5 10 2 4 9 1 4
Vardas335 Pavardė335 5 5 2 0 1 2 1 1 8 7 0 3 6 1 0
Vardas336 Pavardė336 8 7 3 2 3 0 10 9 6 9 10 10 0 8 3
Vardas337 Pavardė337 4 5 0 7 8 5 3 4 4 1 0 0 4 1 3
Vardas338 Pavardė338 0 7 9 6 3 0 10 6 2 5 2 5 4 6 1
Vardas339 Pavardė339 0 5 8 7 3 6 2 4 7 7 4 1 0 8 4
Vardas340 Pavardė340 7 8 9 6 0 4 3 6 2 7 4 7 5 8 3
Vardas341 Pavardė341 4 10 6 6 10 7 4 0 4 0 4 4 6 9 0
Vardas342 Pavardė342 10 3 8 4 9 4 5 9 5 10 0 8 8 6 0
Vardas343 Pavardė343 2 9 4 4 10 10 4 0 4 5 9 4 3 6 2
Vardas344 Pavardė344 10 8 1 8 8 6 9 0 2 6 0 7 3 3 9
Vardas345 Pavardė345 2 9 7 4 6 5 3 0 9 9 9 0 10 10 3
Vardas346 Pavardė346 4 10 0 1 0 0 10 4 3 5 1 0 0 10 5
Vardas347 Pavardė347 6 8 10 2 4 0 10 9 7 1 2 9 8 7 10
Vardas348 Pavardė348 3 0 9 1 7 6 6 9 2 8 0 0 6 6 7
Vardas349 Pavardė349 4 8 5 10 10 6 8 1 8 6 10 5 1 9 0
Vardas350 Pavardė350 6 6 4 10 0 5 1 8 3 10 3 7 0 5 9
Vardas351 Pavardė351 2 9 7 2 0 7 0 5 8 8 0 10 10 5 9
Vardas352 Pavardė352 0 7 6 4 1 4 8 9 5 7 10 10 5 8 5
Vardas353 Pavardė353 6 9 3 6 4 3 10 1 4 8 5 0 3 3 2
Vardas354 Pavardė354 0 3 6 3 10 2 10 6 4 0 3 7 0 9 10
Vardas355 Pavardė355 4 3 2 0 1 0 3 7 10 5 10 6 5 0 0
Vardas356 Pavardė356 5 1 9 7 0 2 4 9 0 5 4 10 2 6 0
Vardas357 Pavardė357 8 2 0 2 2 1 10 10 4 2 3 0 2 0 9
Vardas358 Pavardė358 0 7 3 1 6 2 0 1 0 2 5 10 0 7 0
Vardas359 Pavardė359 4 9 6 1 10 4 10 9 7 3 5 9 4 7 3
Vardas360 Pavardė360 9 6 9 9 9 1 7 4 6 9 8 2 10 9 8
Vardas361 Pavardė361 2 10 6 8 6 8 10 5 2 2 3 1 9 10 4
Vardas362 Pavardė362 9 8 7 4 6 2 6 4 0 5 7 8 4 2 8
Vardas363 Pavardė363 5 0 0 4 8 4 10 0 2 6 6 7 5 2 5
Vardas364 Pavardė364 0 1 2 10 4 1 1 7 9 3 9 1 10 5 9
Vardas365 Pavardė365 2 1 3 1 2 8 1 0 1 7 3 0 10 5 9
Vardas366 Pavardė366 2 7 10 7 4 8 1 1 7 2 8 10 2 9 9
Vardas367 Pavardė367 1 9 7 8 8 1 3 10 0 3 5 1 8 1 3
Vardas368 Pavardė368 4 8 2 0 4 3 8 6 5 9 8 7 0 6 0
Vardas369 Pavardė369 7 2 7 2 8 4 8 6 6 9 5 4 7 5 2
Vardas370 Pavardė370 3 8 3 3 8 6 8 10 9 5 9 4 7 3 2
Vardas371 Pavardė371 6 2 10 9 0 9 2 1 3 4 0 7 4 9 2
Vardas372 Pavardė372 5 7 4 1 5 9 8 0 2 6 0 2 0 1 9
Vardas373 Pavardė373 0 3 2 9 1 4 3 2 6 0 1 1 0 9 3
Vardas374 Pavardė374 1 10 8 4 10 10 3 1 9 1 6 7 10 8 1
Vardas375 Pavardė375 5 6 4 3 3 8 9 1 6 1 4 9 7 5 6
Vardas376 Pavardė376 1 0 2 7 6 3 7 4 1 10 7 5 5 1 8
Vardas377 Pavardė377 1 5 7 2 7 10 10 10 3 6 8 3 5 10 8
Vardas378 Pavardė378 0 3 2 8 5 2 8 2 2 9 10 10 8 10 2
Vardas379 Pavardė379 8 10 8 5 8 8 3 4 9 0 8 10 7 2 9
Vardas380 Pavardė380 6 4 5 5 2 9 4 7 3 7 2 9 7 7 0
Vardas381 Pavardė381 5 7 5 9 7 9 7 10 0 8 4 1 5 2 10
Vardas382 Pavardė382 7 3 4 10 2 9 6 3 9 1 3 3 1 0 5
Vardas383 Pavardė383 1 9 0 7 9 7 4 4 4 5 2 10 1 8 8
Vardas384 Pavardė384 6 2 0 0 3 2 10 9 7 3 2 9 2 2 6
Vardas385 Pavardė385 9 10 10 8 7 7 1 9 3 4 0 10 9 3 2
Vardas386 Pavardė386 9 3 9 6 10 10 3 1 0 5 5 2 7 0 7
Vardas387 Pavardė387 9 8 4 8 8 3 6 8 6 2 0 0 6 10 6
Vardas388 Pavardė388 1 9 0 4 7 4 9 6 6 3 1 4 6 1 3
Vardas389 Pavardė389 2 4 0 6 3 8 5 0 2 10 4 5 9 0 0
Vardas390 Pavardė390 1 6 3 10 1 10 1 4 4 1 9 3 4 7 4
Vardas391 Pavardė391 1 1 8 6 7 1 8 9 9 4 8 8 5 5 1
Vardas392 Pavardė392 1 6 1 6 5 1 5 5 3 8 7 10 6 5 5
Vardas393 Pavardė393 2 3 9 2 3 3 6 0 6 7 3 8 9 5 8
Vardas394 Pavardė394 6 1 2 2 5 0 2 3 3 1 7 9 4 7 9
Vardas395 Pavardė395 0 5 3 9 2 8 4 2 0 4 1 6 3 5 10
Vardas396 Pavardė396 2 6 7 2 8 9 6 10 4 6 5 6 9 5 9
Vardas397 Pavardė397 9 7 1 2 0 9 4 5 10 10 7 9 3 5 0
Vardas398 Pavardė398 1 8 7 6 10 0 0 0 0 7 10 6 2 1 9
Vardas399 Pavardė399 10 4 3 8 5 4 10 5 0 5 8 5 6 4 10
Vardas400 Pavardė400 2 5 8 0 4 1 3 0 6 5 3 6 3 4 6
Vardas401 Pavardė401 7 7 5 4 7 2 10 9 0 10 0 7 8 8 10
Vardas402 Pavardė402 7 0 0 8 9 7 5 2 0 0 5 2 6 3 8
Vardas403 Pavardė403 8 5 7 7 1 0 0 2 1 4 1 8 8 1 1
Vardas404 Pavardė404 5 6 5 5 4 3 6 5 10 0 10 8 9 8 5
Vardas405 Pavardė405 3 3 9 0 2 3 9 5 2 6 4 7 7 6 8
Vardas406 Pavardė406 5 9 10 3 4 7 9 0 2 7 3 3 0 2 9
Vardas407 Pavardė407 10 4 4 7 3 10 10 4 2 1 5 7 10 4 7
Vardas408 Pavardė408 3 10 6 2 1 8 4 4 3 0 10 2 0 9 1
Vardas409 Pavardė409 2 2 10 4 2 1 5 3 0 9 3 1 8 9 1
Vardas410 Pavardė410 1 4 1 9 4 5 8 4 8 2 8 9 1 5 2
Vardas411 Pavardė411 1 3 1 5 1 9 7 10 9 10 6 9 10 7 5
Vardas412 Pavardė412 10 7 7 2 4 10 7 2 5 4 5 6 8 4 7
Vardas413 Pavardė413 8 5 5 2 8 8 5 3 8 10 6 8 9 9 10
Vardas414 Pavardė414 9 1 7 3 4 8 8 3 10 9 4 0 8 9 5
Vardas415 Pavardė415 9 7 3 5 1 9 8 1 0 7 6 7 9 5 10
Vardas416 Pavardė416 4 1 7 10 3 0 2 3 9 2 2 10 5 1 5
Vardas417 Pavardė417 7 10 8 4 8 4 2 8 1 2 3 1 3 3 4
Vardas418 Pavardė418 1 5 4 6 3 6 0 1 2 7 10 3 10 3 4
Vardas419 Pavardė419 7 9 9 9 1 9 9 1 6 0 7 4 2 1 10
Vardas420 Pavardė420 10 1 1 8 10 1 8 7 7 9 2 7 2 9 10
Vardas421 Pavardė421 6 3 2 8 9 5 0 9 0 4 0 1 6 8 0
Vardas422 Pavardė422 6 3 3 6 5 4 2 5 0 0 5 5 6 1 9
Vardas423 Pavardė423 0 8 9 5 5 2 9 4 2 6 1 7 2 1 9
Vardas424 Pavardė424 0 1 7 4 9 1 6 0 8 10 1 4 1 0 8
Vardas425 Pavardė425 9 9 7 10 0 7 5 0 7 10 5 0 3 10 6
Vardas426 Pavardė426 2 9 9 6 5 9 7 1 4 6 2 2 9 7 2
Vardas427 Pavardė427 5 0 1 9 8 1 1 5 8 4 5 10 2 0 1
Vardas428 Pavardė428 10 2 3 10 7 4 9 4 7 6 4 7 8 1 4
Vardas429 Pavardė429 10 7 3 10 8 3 7 7 4 10 1 7 2 7 0
Vardas430 Pavardė430 5 0 4 4 10 4 10 4 1 7 5 7 3 5 2
Vardas431 Pavardė431 0 3 4 8 1 8 3 1 3 3 0 1 6 3 3
Vardas432 Pavardė432 1 8 2 9 5 0 9 8 9 4 1 6 3 10 5
Vardas433 Pavardė433 9 2 5 7 1 6 5 9 9 2 7 4 4 8 8
Vardas434 Pavardė434 6 0 10 8 2 0 1 1 3 9 5 7 8 10 4
Vardas435 Pavardė435 3 7 1 2 7 2 5 1 4 3 9 1 1 4 0
Vardas436 Pavardė436 1 4 6 10 10 8 0 10 0 0 1 0 3 10 10
Vardas437 Pavardė437 8 3 1 2 2 10 6 7 9 8 2 8 8 0 6
Vardas438 Pavardė438 6 4 4 8 9 3 7 8 7 0 9 6 4 4 9
Vardas439 Pavardė439 10 7 2 5 7 9 9 7 1 8 8 8 6 0 4
Vardas440 Pavardė440 10 1 6 2 4 2 3 0 7 0 7 8 4 0 10
Vardas441 Pavardė441 8 9 1 7 4 2 3 6 1 5 3 5 8 4 5
Vardas442 Pavardė442 6 2 4 1 4 2 8 9 5 6 0 2 9 8 6
Vardas443 Pavardė443 3 0 1 6 1 8 6 4 10 3 8 9 4 3 6
Vardas444 Pavardė444 0 5 3 1 0 6 6 1 5 5 1 0 5 4 10
Vardas445 Pavardė445 9 2 8 1 3 10 9 10 2 7 4 0 2 6 1
Vardas446 Pavardė446 8 10 3 9 6 9 8 5 4 9 9 1 6 10 6
Vardas447 Pavardė447 0 5 8 3 2 4 10 8 7 7 8 3 6 3 2
Vardas448 Pavardė448 4 6 8 7 3 2 3 8 5 5 10 6 4 2 9
Vardas449 Pavardė449 7 8 7 1 3 10 3 5 10 4 2 10 7 5 9
Vardas450 Pavardė450 4 7 5 0 8 8 9 5 8 4 8 2 5 2 6
Vardas451 Pavardė451 4 1 10 8 4 4 8 9 6 3 10 1 6 2 7
Vardas452 Pavardė452 9 9 7 3 3 3 4 4 8 8 8 2 9 1 4
Vardas453 Pavardė453 1 6 10 2 3 4 8 10 1 7 6 5 0 8 2
Vardas454 Pavardė454 4 6 10 6 2 1 3 4 0 5 0 9 4 4 8
Vardas455 Pavardė455 6 6 5 3 10 3 8 2 3 2 5 3 4 10 2
Vardas456 Pavardė456 8 6 10 1 0 2 3 5 2 8 4 5 9 4 7
Vardas457 Pavardė457 4 1 5 3 9 2 6 1 9 0 2 7 2 8 4
Vardas458 Pavardė458 1 7 8 9 6 4 1 8 3 0 0 2 7 6 9
Vardas459 Pavardė459 10 4 5 4 1 5 5 6 5 0 10 1 0 9 7
Vardas460 Pavardė460 7 3 0 6 5 6 9 2 7 9 2 6 1 8 7
Vardas461 Pavardė461 3 6 9 6 4 9 0 4 1 5 5 4 7 7 3
Vardas462 Pavardė462 2 4 2 9 0 4 10 1 2 10 2 2 1 0 8
Vardas463 Pavardė463 10 4 2 3 4 0 5 2 0 10 5 8 2 5 6
Vardas464 Pavardė464 2 3 0 8 5 8 10 4 4 10 1 6 9 4 3
Vardas465 Pavardė465 1 8 5 6 8 8 5 7 8 1 5 1 1 7 10
Vardas466 Pavardė466 8 6 6 5 7 8 4 7 0 2 2 3 4 6 2
Vardas467 Pavardė467 6 6 2 10 5 4 8 8 1 3 9 9 9 10 1
Vardas468 Pavardė468 5 9 5 3 8 5 6 9 2 6 2 4 0 9 1
Vardas469 Pavardė469 3 0 9 4 2 2 5 2 0 3 1 7 9 5 3
Vardas470 Pavardė470 2 3 2 1 0 10 9 8 9 0 2 10 7 7 10
Vardas471 Pavardė471 9 9 2 5 4 3 4 0 4 2 4 8 9 6 4
Vardas472 Pavardė472 6 10 0 7 2 8 5 2 4 6 0 2 4 6 2
Vardas473 Pavardė473 8 8 8 10 0 6 0 6 0 0 1 9 10 9 10
Vardas474 Pavardė474 6 0 9 3 1 5 0 3 2 4 10 9 1 4 3
Vardas475 Pavardė475 4 10 7 0 4 9 2 10 3 10 8 8 4 1 7
Vardas476 Pavardė476 10 4 6 7 2 7 4 10 6 4 0 7 5 8 4
Vardas477 Pavardė477 8 2 0 6 3 1 8 8 8 0 9 6 9 3 1
Vardas478 Pavardė478 3 9 4 7 0 7 9 0 7 3 8 7 6 6 10
Vardas479 Pavardė479 8 2 6 4 2 4 0 10 5 1 4 9 10 1 1
Vardas480 Pavardė480 9 2 7 7 0 6 8 4 1 3 7 1 10 3 7
Vardas481 Pavardė481 1 7 8 4 1 4 1 8 5 3 3 0 2 4 10
Vardas482 Pavardė482 7 10 8 5 1 6 5 10 1 5 5 4 2 8 3
Vardas483 Pavardė483 5 6 1 2 0 3 8 0 0 10 5 6 4 9 3
Vardas484 Pavardė484 2 8 7 5 6 8 10 10 3 3 10 2 10 5 9
Vardas485 Pavardė485 10 9 1 1 10 1 0 9 1 3 0 3 10 10 4
Vardas486 Pavardė486 7 7 5 4 3 4 3 2 1 4 3 2 6 4 4
Vardas487 Pavardė487 5 4 4 2 0 5 5 7 9 2 6 1 0 0 7
Vardas488 Pavardė488 2 10 7 6 3 6 0 8 10 3 8 5 5 0 6
Vardas489 Pavardė489 7 1 3 5 9 7 10 6 3 8 5 4 0 3 8
Vardas490 Pavardė490 5 9 3 5 1 5 3 10 8 6 7 1 8 0 3
Vardas491 Pavardė491 10 4 2 4 5 8 1 4 4 6 5 8 6 3 2
Vardas492 Pavardė492 2 9 9 6 10 5 10 8 0 8 1 1 0 10 1
Vardas493 Pavardė493 9 0 10 5 6 2 5 8 2 2 6 0 7 6 2
Vardas494 Pavardė494 10 0 9 8 2 1 8 7 2 10 7 5 9 5 9
Vardas495 Pavardė495 3 9 10 7 9 2 0 3 6 0 4 6 9 1 3
Vardas496 Pavardė496 8 6 2 5 2 8 6 8 2 6 2 6 9 3 4
Vardas497 Pavardė497 2 10 1 9 2 9 4 10 5 8 1 1 7 7 3
Vardas498 Pavardė498 6 3 4 3 0 5 6 9 4 1 9 5 7 6 4
Vardas499 Pavardė499 9 7 6 6 7 9 10 10 3 1 6 0 9 7 3
Vardas500 Pavardė500 6 8 5 0 9 3 3 3 4 3 4 4 8 5 8
Vardas501 Pavardė501 7 7 3 8 3 10 8 9 1 0 7 10 1 5 9
Vardas502 Pavardė502 8 7 9 9 2 8 5 9 9 3 6 7 1 5 1
Vardas503 Pavardė503 10 3 6 4 1 8 9 9 1 5 2 0 10 8 10
Vardas504 Pavardė504 10 5 3 4 10 3 10 0 0 7 3 7 9 8 10
Vardas505 Pavardė505 9 1 2 2 5 6 10 7 1 10 2 9 6 5 2
Vardas506 Pavardė506 9 1 5 8 4 8 0 5 1 0 5 8 7 10 7
Vardas507 Pavardė507 10 4 5 6 4 6 6 7 8 4 8 3 8 5 6
Vardas508 Pavardė508 7 4 3 7 3 6 4 5 8 5 8 8 10 5 5
Vardas509 Pavardė509 7 0 7 10 2 1 9 0 9 9 2 0 10 2 6
Vardas510 Pavardė510 0 0 6 0 5 0 8 6 8 4 9 8 2 8 8
Vardas511 Pavardė511 5 7 3 10 0 10 0 0 1 4 6 10 0 3 2
Vardas512 Pavardė512 0 2 4 6 10 0 3 1 6 5 8 2 4 0 3
Vardas513 Pavardė513 0 4 8 7 9 10 3 0 9 4 2 7 3 7 2
Vardas514 Pavardė514 3 3 7 3 1 9 1 8 1 8 6 4 7 10 6
Vardas515 Pavardė515 0 7 1 8 7 4 9 1 1 2 2 6 4 4 4
Vardas516 Pavardė516 2 4 6 10 8 9 10 7 2 4 9 0 8 9 8
Vardas517 Pavardė517 6 10 6 9 4 10 10 2 4 8 4 1 1 4 6
Vardas518 Pavardė518 4 4 9 2 4 6 5 2 2 3 3 3 8 7 7
Vardas519 Pavardė519 9 2 2 0 2 3 6 0 7 8 5 5 5 8 0
Vardas520 Pavardė520 9 5 4 0 2 0 1 6 3 3 8 5 9 3 7
Vardas521 Pavardė521 1 6 4 2 0 10 10 8 2 5 4 6 2 7 10
Vardas522 Pavardė522 8 2 0 6 10 10 10 2 7 5 7 10 10 6 1
Vardas523 Pavardė523 3 7 6 3 1 9 4 6 1 5 3 1 5 3 8
Vardas524 Pavardė524 6 10 10 5 1 6 9 0 0 6 8 7 6 7 3
Vardas525 Pavardė525 7 2 10 8 5 8 9 4 7 3 9 2 5 7 3
Vardas526 Pavardė526 3 3 1 7 9 4 9 6 6 3 8 3 1 1 7
Vardas527 Pavardė527 3 4 1 9 9 10 0 2 9 8 2 7 9 10 10
Vardas528 Pavardė528 2 3 1 5 7 0 4 7 0 10 8 8 4 1 4
Vardas529 Pavardė529 2 4 9 6 5 4 3 9 0 0 6 2 8 7 9
Vardas530 Pavardė530 6 4 2 0 1 4 9 8 0 1 5 4 10 5 6
Vardas531 Pavardė531 6 3 2 1 8 3 2 2 4 6 9 9 0 6 10
Vardas532 Pavardė532 9 5 1 3 2 9 7 0 6 7 6 8 7 0 7
Vardas533 Pavardė533 6 3 2 0 8 6 9 9 9 0 3 9 6 5 5
Vardas534 Pavardė534 10 5 9 0 1 9 9 1 2 9 6 0 2 3 9
Vardas535 Pavardė535 2 3 6 4 2 9 1 5 2 8 3 6 0 7 6
Vardas536 Pavardė536 10 4 3 3 8 8 8 4 2 6 10 5 3 2 9
Vardas537 Pavardė537 3 7 9 3 9 3 10 6 2 0 5 1 1 1 1
Vardas538 Pavardė538 6 1 5 10 5 4 5 9 3 1 5 6 4 0 0
Vardas539 Pavardė539 5 8 7 2 9 2 8 5 3 4 5 6 3 4 3
Vardas540 Pavardė540 8 3 6 10 8 2 5 7 7 0 10 10 10 4 7
Vardas541 Pavardė541 3 7 7 8 9 3 9 3 10 9 1 2 0 5 10
Vardas542 Pavardė542 8 10 3 9 1 3 2 9 2 3 5 0 2 2 4
Vardas543 Pavardė543 0 10 3 8 8 10 1 5 6 0 2 10 0 9 5
Vardas544 Pavardė544 8 8 4 10 1 2 2 4 10 10 3 6 3 8 9
Vardas545 Pavardė545 9 7 5 6 3 8 4 10 1 1 1 7 2 3 7
Vardas546 Pavardė546 3 1 2 9 6 8 6 4 0 5 2 7 8 9 6
Vardas547 Pavardė547 4 2 3 9 5 7 4 6 1 0 2 2 0 5 8
Vardas548 Pavardė548 10 3 6 9 9 3 5 3 5 3 7 9 1 8 2
Vardas549 Pavardė549 5 10 4 5 10 0 8 4 10 2 3 8 3 5 1
Vardas550 Pavardė550 7 0 9 2 4 1 4 6 0 2 6 9 5 2 3
Vardas551 Pavardė551 2 7 10 5 8 7 3 0 6 9 3 2 2 1 10
Vardas552 Pavardė552 3 6 7 0 4 4 5 9 3 6 7 9 1 7 1
Vardas553 Pavardė553 9 8 4 5 10 4 7 8 10 4 4 10 2 5 10
Vardas554 Pavardė554 7 3 9 10 5 9 2 9 9 8 4 7 1 9 3
Vardas555 Pavardė555 2 0 6 3 0 7 1 10 8 10 7 1 4 1 0
Vardas556 Pavardė556 2 2 6 0 10 10 3 8 9 3 1 2 9 2 6
Vardas557 Pavardė557 8 9 9 9 0 3 9 7 4 7 7 0 9 4 5
Vardas558 Pavardė558 0 5 0 0 1 3 5 0 4 0 4 2 2 8 9
Vardas559 Pavardė559 3 0 3 3 8 9 3 0 7 0 5 9 1 1 10
Vardas560 Pavardė560 6 3 9 5 4 9 6 2 4 5 8 2 0 3 4
Vardas561 Pavardė561 0 10 1 5 4 0 9 7 10 4 10 6 4 9 3
Vardas562 Pavardė562 10 5 2 1 5 8 1 0 10 0 0 4 4 8 0
Vardas563 Pavardė563 5 7 10 8 3 9 0 9 1 5 5 2 8 8 4
Vardas564 Pavardė564 6 5 9 8 3 8 9 4 4 1 3 1 8 9 6
Vardas565 Pavardė565 4 3 2 6 1 3 8 10 0 4 3 10 6 6 7
Vardas566 Pavardė566 1 4 1 8 0 7 7 1 8 4 6 0 1 0 6
Vardas567 Pavardė567 6 1 8 4 2 9 8 7 9 9 7 3 9 1 8
Vardas568 Pavardė568 8 3 1 9 4 9 10 8 8 1 3 0 10 9 1
Vardas569 Pavardė569 10 1 5 10 7 6 5 9 7 4 1 2 0 4 1
Vardas570 Pavardė570 5 2 4 8 3 10 1 6 10 1 10 10 1 5 4
Vardas571 Pavardė571 4 7 8 9 6 2 10 10 5 2 2 9 6 0 7
Vardas572 Pavardė572 8 5 3 5 2 4 9 4 8 7 1 4 0 4 1
Vardas573 Pavardė573 0 7 1 4 0 9 9 8 9 3 9 3 3 0 6
Vardas574 Pavardė574 10 7 8 10 9 8 3 1 6 5 1 2 10 10 8
Vardas575 Pavardė575 5 9 2 3 9 6 7 10 0 3 2 10 10 0 8
Vardas576 Pavardė576 8 8 7 8 8 5 2 0 7 1 5 10 4 8 4
Vardas577 Pavardė577 6 4 4 3 6 3 7 10 5 9 4 0 4 2 9
Vardas578 Pavardė578 2 5 5 1 0 4 8 8 8 7 10 7 1 6 10
Vardas579 Pavardė579 4 10 8 3 9 1 8 6 10 7 6 7 8 5 5
Vardas580 Pavardė580 10 7 8 4 6 0 8 2 4 6 4 7 7 9 7
Vardas581 Pavardė581 1 2 10 5 5 1 10 10 4 6 7 4 9 6 10
Vardas582 Pavardė582 6 0 9 2 9 8 7 2 4 1 3 3 6 9 7
Vardas583 Pavardė583 5 5 6 10 2 2 5 5 10 4 4 9 7 2 7
Vardas584 Pavardė584 1 3 0 4 2 2 9 5 9 7 7 0 4 1 0
Vardas585 Pavardė585 2 1 3 9 9 10 10 1 0 4 7 1 7 2 7
Vardas586 Pavardė586 8 1 9 6 6 3 0 3 0 3 1 7 0 8 7
Vardas587 Pavardė587 3 2 7 3 2 9 2 6 5 5 10 2 1 7 1
Vardas588 Pavardė588 3 4 0 7 9 8 10 2 2 8 10 2 7 2 2
Vardas589 Pavardė589 4 7 9 8 6 8 0 8 7 1 4 1 6 4 9
Vardas590 Pavardė590 7 10 8 0 6 8 2 3 8 9 1 0 4 10 3
Vardas591 Pavardė591 2 7 0 8 6 10 0 1 8 7 8 3 6 2 0
Vardas592 Pavardė592 5 3 6 3 8 10 2 0 1 7 7 4 1 10 0
Vardas593 Pavardė593 9 7 1 10 0 9 1 7 6 4 0 9 7 9 0
Vardas594 Pavardė594 5 9 4 8 9 6 0 3 7 9 4 0 2 4 0
Vardas595 Pavardė595 6 8 9 9 6 5 8 8 10 9 3 9 0 2 10
Vardas596 Pavardė596 10 10 1 5 4 7 0 0 2 9 6 4 7 10 1
Vardas597 Pavardė597 0 5 9 10 4 0 9 6 5 9 6 3 2 9 5
Vardas598 Pavardė598 9 1 6 7 7 4 7 7 5 2 7 7 6 1 10
Vardas599 Pavardė599 0 9 5 1 1 6 8 6 3 10 7 5 1 10 5
Vardas600 Pavardė600 9 1 8 9 7 10 4 3 7 0 5 8 5 1 4
Vardas601 Pavardė601 1 6 1 10 10 7 0 9 5 1 8 8 3 5 7
Vardas602 Pavardė602 8 3 9 3 1 1 3 0 8 10 4 2 7 0 4
Vardas603 Pavardė603 7 4 3 9 0 8 7 2 8 8 8 7 3 4 7
Vardas604 Pavardė604 4 0 5 0 9 7 7 7 0 4 10 1 7 9 1
Vardas605 Pavardė605 1 8 10 3 9 4 4 0 1 2 6 4 8 2 4
Vardas606 Pavardė606 1 10 7 0 8 10 0 0 6 2 6 9 4 8 7
Vardas607 Pavardė607 2 3 7 10 8 5 0 3 1 8 8 9 5 7 9
Vardas608 Pavardė608 1 0 3 7 2 4 6 7 1 7 5 1 7 3 2
Vardas609 Pavardė609 10 10 9 4 9 8 4 7 1 6 9 7 3 1 3
Vardas610 Pavardė610 8 10 10 2 2 2 10 3 4 7 7 4 4 3 4
Vardas611 Pavardė611 8 7 10 0 5 8 4 8 4 10 3 4 5 9 2
Vardas612 Pavardė612 8 5 3 10 3 5 0 3 3 0 2 9 5 10 2
Vardas613 Pavardė613 3 0 7 7 6 9 4 4 7 5 8 0 5 4 10
Vardas614 Pavardė614 10 4 0 10 6 0 3 7 10 3 5 9 3 8 0
Vardas615 Pavardė615 7 6 1 3 6 9 5 3 0 6 9 10 10 2 9
Vardas616 Pavardė616 4 9 10 9 4 9 1 0 0 0 0 5 4 7 6
Vardas617 Pavardė617 6 3 5 4 2 5 7 9 9 10 3 5 2 9 2
Vardas618 Pavardė618 10 3 3 0 2 3 3 5 1 3 10 0 6 2 9
Vardas619 Pavardė619 2 5 10 1 1 3 4 1 0 3 5 1 4 2 1
Vardas620 Pavardė620 8 8 3 4 4 5 1 10 5 9 1 0 7 7 6
Vardas621 Pavardė621 9 10 2 8 1 3 0 2 10 10 9 7 6 7 9
Vardas622 Pavardė622 9 2 0 9 10 3 10 0 7 9 3 9 0 8 10
Vardas623 Pavardė623 1 1 1 0 1 8 2 8 9 6 7 6 9 4 1
Vardas624 Pavardė624 3 8 4 1 4 3 7 7 7 3 2 5 7 2 6
Vardas625 Pavardė625 9 0 10 3 5 7 4 0 6 8 7 2 5 4 7
Vardas626 Pavardė626 1 8 5 0 9 4 6 8 1 9 3 6 6 10 3
Vardas627 Pavardė627 6 4 0 10 10 10 9 6 10 0 3 8 9 7 1
Vardas628 Pavardė628 5 8 2 4 5 5 4 8 10 0 3 7 1 4 2
Vardas629 Pavardė629 8 7 5 4 7 4 6 2 0 9 0 3 1 4 1
Vardas630 Pavardė630 5 6 8 7 2 9 9 0 8 4 8 5 6 6 2
Vardas631 Pavardė631 6 10 5 10 0 1 9 10 3 10 9 7 5 0 4
Vardas632 Pavardė632 8 5 3 0 6 5 3 5 5 8 10 10 7 3 7
Vardas633 Pavardė633 9 2 6 0 8 10 4 1 2 8 2 0 3 4 9
Vardas634 Pavardė634 8 9 7 4 6 6 1 2 1 2 4 6 8 8 4
Vardas635 Pavardė635 8 2 0 8 7 3 3 3 5 1 9 8 5 5 7
Vardas636 Pavardė636 8 8 9 0 7 6 10 5 7 8 9 3 9 4 3
Vardas637 Pavardė637 9 10 7 10 3 10 1 9 8 2 3 6 8 4 8
Vardas638 Pavardė638 0 1 7 9 5 10 2 2 7 2 6 0 8 2 4
Vardas639 Pavardė639 2 1 5 4 0 0 7 7 9 6 3 0 3 2 0
Vardas640 Pavardė640 2 0 6 9 10 10 0 5 0 7 4 0 3 4 2
Vardas641 Pavardė641 4 6 0 2 0 6 4 3 6 5 8 3 8 1 1
Vardas642 Pavardė642 3 9 1 7 7 4 3 5 8 6 3 8 3 7 0
Vardas643 Pavardė643 2 5 1 5 7 3 10 8 3 1 0 10 6 1 2
Vardas644 Pavardė644 2 0 5 8 1 3 5 1 0 1 8 3 1 5 9
Vardas645 Pavardė645 7 6 10 6 2 2 6 1 8 1 0 10 7 10 7
