Vardas Pavardė ND1 ND2 ND3 Egz.
Vardas19950 Pavardė19950 9 2 9 8
Vardas19951 Pavardė19951 6 2 3 2
Vardas19952 Pavardė19952 0 3 3 0
Vardas19953 Pavardė19953 9 9 10 3
Vardas19954 Pavardė19954 10 1 8 1
Vardas19955 Pavardė19955 2 4 7 3
Vardas19956 Pavardė19956 1 0 10 9
Vardas19957 Pavardė19957 9 7 10 5
Vardas19958 Pavardė19958 6 6 0 0
Vardas19959 Pavardė19959 5 6 8 10
Vardas19960 Pavardė19960 5 5 1 2
Vardas19961 Pavardė19961 8 8 10 8
Vardas19962 Pavardė19962 10 5 4 9
Vardas19963 Pavardė19963 7 4 7 5
Vardas19964 Pavardė19964 2 4 4 4
Vardas19965 Pavardė19965 7 2 6 0
Vardas19966 Pavardė19966 10 6 6 6
Vardas19967 Pavardė19967 0 7 5 6
Vardas19968 Pavardė19968 6 7 2 10
Vardas19969 Pavardė19969 3 4 3 0
Vardas19970 Pavardė19970 5 4 8 0
Vardas19971 Pavardė19971 4 3 4 7
Vardas19972 Pavardė19972 6 0 4 2
Vardas19973 Pavardė19973 5 8 2 5
Vardas19974 Pavardė19974 10 4 7 5
Vardas19975 Pavardė19975 2 7 7 0
Vardas19976 Pavardė19976 5 6 7 9
Vardas19977 Pavardė19977 4 6 1 6
Vardas19978 Pavardė19978 3 8 9 9
Vardas19979 Pavardė19979 1 8 5 7
Vardas19980 Pavardė19980 8 8 3 4
Vardas19981 Pavardė19981 2 6 8 3
Vardas19982 Pavardė19982 8 0 3 1
Vardas19983 Pavardė19983 0 2 7 10
Vardas19984 Pavardė19984 0 8 4 10
Vardas19985 Pavardė19985 8 8 5 3
Vardas19986 Pavardė19986 3 2 0 8
Vardas19987 Pavardė19987 0 0 5 10
Vardas19988 Pavardė19988 7 7 10 5
Vardas19989 Pavardė19989 5 10 8 4
Vardas19990 Pavardė19990 3 8 0 10
Vardas19991 Pavardė19991 4 5 10 8
Vardas19992 Pavardė19992 5 2 2 6
Vardas19993 Pavardė19993 5 5 7 8
Vardas19994 Pavardė19994 10 1 7 3
Vardas19995 Pavardė19995 9 8 3 10
Vardas19996 Pavardė19996 0 8 1 9
Vardas19997 Pavardė19997 2 5 8 3
Vardas19998 Pavardė19998 8 8 3 10
Vardas19999 Pavardė19999 1 5 0 10
Vardas20000 Pavardė20000 5 3 10 4
Vardas20001 Pavardė20001 0 2 1 4
Vardas20002 Pavardė20002 4 2 7 9
Vardas20003 Pavardė20003 7 6 9 0
Vardas20004 Pavardė20004 6 10 0 5
Vardas20005 Pavardė20005 1 5 10 2
Vardas20006 Pavardė20006 8 8 10 5
Vardas20007 Pavardė20007 2 3 2 6
Vardas20008 Pavardė20008 2 4 10 4
Vardas20009 Pavardė20009 3 4 8 4
Vardas20010 Pavardė20010 8 0 6 9
Vardas20011 Pavardė20011 9 2 7 3
Vardas20012 Pavardė20012 9 9 0 2
Vardas20013 Pavardė20013 8 8 0 3
Vardas20014 Pavardė20014 6 8 2 1
Vardas20015 Pavardė20015 4 4 3 7
Vardas20016 Pavardė20016 5 0 6 10
Vardas20017 Pavardė20017 8 7 3 1
Vardas20018 Pavardė20018 3 5 1 10
Vardas20019 Pavardė20019 10 4 1 6
Vardas20020 Pavardė20020 8 4 6 0
Vardas20021 Pavardė20021 1 10 7 9
Vardas20022 Pavardė20022 7 7 10 10
Vardas20023 Pavardė20023 4 0 0 2
Vardas20024 Pavardė20024 4 9 8 7
Vardas20025 Pavardė20025 2 0 2 0
Vardas20026 Pavardė20026 2 4 0 6
Vardas20027 Pavardė20027 10 2 0 8
Vardas20028 Pavardė20028 6 2 7 3
Vardas20029 Pavardė20029 6 10 1 5
Vardas20030 Pavardė20030 3 0 1 1
Vardas20031 Pavardė20031 0 7 7 8
Vardas20032 Pavardė20032 4 7 1 8
Vardas20033 Pavardė20033 4 2 6 6
Vardas20034 Pavardė20034 3 10 4 10
Vardas20035 Pavardė20035 3 5 1 5
Vardas20036 Pavardė20036 1 7 2 8
Vardas20037 Pavardė20037 8 6 5 0
Vardas20038 Pavardė20038 0 9 10 5
Vardas20039 Pavardė20039 0 0 3 0
Vardas20040 Pavardė20040 7 10 10 5
Vardas20041 Pavardė20041 7 1 3 9
Vardas20042 Pavardė20042 10 8 7 0
Vardas20043 Pavardė20043 0 6 10 2
Vardas20044 Pavardė20044 10 4 5 5
Vardas20045 Pavardė20045 4 10 3 0
Vardas20046 Pavardė20046 9 7 7 10
Vardas20047 Pavardė20047 2 6 7 3
Vardas20048 Pavardė20048 9 10 4 5
Vardas20049 Pavardė20049 9 10 10 9
Vardas20050 Pavardė20050 9 3 2 1
Vardas20051 Pavardė20051 4 4 6 3
Vardas20052 Pavardė20052 5 0 9 9
Vardas20053 Pavardė20053 9 0 1 10
Vardas20054 Pavardė20054 3 7 3 10
Vardas20055 Pavardė20055 0 2 2 10
Vardas20056 Pavardė20056 8 3 4 0
Vardas20057 Pavardė20057 2 7 9 3
Vardas20058 Pavardė20058 5 8 8 6
Vardas20059 Pavardė20059 7 5 8 8
Vardas20060 Pavardė20060 2 6 0 5
Vardas20061 Pavardė20061 9 1 2 0
Vardas20062 Pavardė20062 5 7 1 2
Vardas20063 Pavardė20063 2 7 4 0
Vardas20064 Pavardė20064 0 4 3 5
Vardas20065 Pavardė20065 4 8 0 10
Vardas20066 Pavardė20066 3 6 3 4
Vardas20067 Pavardė20067 9 0 2 8
Vardas20068 Pavardė20068 8 6 10 8
Vardas20069 Pavardė20069 8 5 3 3
Vardas20070 Pavardė20070 6 1 9 7
Vardas20071 Pavardė20071 4 10 9 3
Vardas20072 Pavardė20072 5 1 5 6
Vardas20073 Pavardė20073 9 4 2 4
Vardas20074 Pavardė20074 6 10 1 7
Vardas20075 Pavardė20075 1 8 3 2
Vardas20076 Pavardė20076 3 3 6 8
Vardas20077 Pavardė20077 0 5 0 7
Vardas20078 Pavardė20078 8 0 2 9
Vardas20079 Pavardė20079 2 10 4 9
Vardas20080 Pavardė20080 5 0 10 4
Vardas20081 Pavardė20081 1 10 10 9
Vardas20082 Pavardė20082 0 8 6 1
Vardas20083 Pavardė20083 3 0 9 7
Vardas20084 Pavardė20084 4 5 4 5
Vardas20085 Pavardė20085 1 7 8 1
Vardas20086 Pavardė20086 3 10 1 3
Vardas20087 Pavardė20087 0 10 5 10
Vardas20088 Pavardė20088 1 1 1 4
Vardas20089 Pavardė20089 5 0 3 8
Vardas20090 Pavardė20090 8 3 2 6
Vardas20091 Pavardė20091 7 7 8 8
Vardas20092 Pavardė20092 4 5 10 0
Vardas20093 Pavardė20093 4 4 5 1
Vardas20094 Pavardė20094 1 10 10 3
Vardas20095 Pavardė20095 6 2 1 4
Vardas20096 Pavardė20096 7 2 7 4
Vardas20097 Pavardė20097 3 3 2 9
Vardas20098 Pavardė20098 2 6 9 2
Vardas20099 Pavardė20099 1 3 3 9
Vardas20100 Pavardė20100 7 6 9 8
Vardas20101 Pavardė20101 2 7 0 2
Vardas20102 Pavardė20102 5 9 0 1
Vardas20103 Pavardė20103 0 9 0 2
Vardas20104 Pavardė20104 9 7 5 5
Vardas20105 Pavardė20105 0 5 3 2
Vardas20106 Pavardė20106 8 1 6 8
Vardas20107 Pavardė20107 7 10 9 2
Vardas20108 Pavardė20108 3 0 2 7
Vardas20109 Pavardė20109 10 0 9 7
Vardas20110 Pavardė20110 2 1 0 7
Vardas20111 Pavardė20111 1 3 10 9
Vardas20112 Pavardė20112 10 1 8 2
Vardas20113 Pavardė20113 10 3 10 7
Vardas20114 Pavardė20114 6 1 7 1
Vardas20115 Pavardė20115 2 3 1 9
Vardas20116 Pavardė20116 0 2 2 7
Vardas20117 Pavardė20117 9 3 0 8
Vardas20118 Pavardė20118 6 6 10 10
Vardas20119 Pavardė20119 2 3 10 0
Vardas20120 Pavardė20120 9 2 7 3
Vardas20121 Pavardė20121 2 7 1 7
Vardas20122 Pavardė20122 10 3 6 6
Vardas20123 Pavardė20123 6 7 10 6
Vardas20124 Pavardė20124 6 8 2 4
Vardas20125 Pavardė20125 3 5 7 3
Vardas20126 Pavardė20126 3 10 6 5
Vardas20127 Pavardė20127 5 2 0 8
Vardas20128 Pavardė20128 7 0 7 10
Vardas20129 Pavardė20129 3 6 6 7
Vardas20130 Pavardė20130 2 0 1 7
Vardas20131 Pavardė20131 9 2 4 5
Vardas20132 Pavardė20132 5 3 10 7
Vardas20133 Pavardė20133 4 8 3 4
Vardas20134 Pavardė20134 6 1 7 0
Vardas20135 Pavardė20135 5 9 10 7
Vardas20136 Pavardė20136 2 2 8 8
Vardas20137 Pavardė20137 3 1 9 10
Vardas20138 Pavardė20138 2 3 0 5
Vardas20139 Pavardė20139 7 10 7 10
Vardas20140 Pavardė20140 6 5 1 8
Vardas20141 Pavardė20141 3 10 2 4
Vardas20142 Pavardė20142 0 0 4 8
Vardas20143 Pavardė20143 6 9 0 3
Vardas20144 Pavardė20144 6 10 8 4
Vardas20145 Pavardė20145 4 4 2 6
Vardas20146 Pavardė20146 6 6 7 2
Vardas20147 Pavardė20147 9 3 5 4
Vardas20148 Pavardė20148 6 0 10 10
Vardas20149 Pavardė20149 4 6 6 2
Vardas20150 Pavardė20150 10 0 8 1
Vardas20151 Pavardė20151 10 2 5 0
Vardas20152 Pavardė20152 4 1 8 3
Vardas20153 Pavardė20153 8 9 7 6
Vardas20154 Pavardė20154 10 10 3 8
Vardas20155 Pavardė20155 2 7 3 2
Vardas20156 Pavardė20156 1 2 6 3
Vardas20157 Pavardė20157 7 8 2 10
Vardas20158 Pavardė20158 8 10 6 10
Vardas20159 Pavardė20159 9 9 1 0
Vardas20160 Pavardė20160 7 4 3 8
Vardas20161 Pavardė20161 5 8 6 8
Vardas20162 Pavardė20162 9 3 4 8
Vardas20163 Pavardė20163 5 7 5 6
Vardas20164 Pavardė20164 5 4 7 0
Vardas20165 Pavardė20165 3 10 5 10
Vardas20166 Pavardė20166 8 3 1 4
Vardas20167 Pavardė20167 6 9 5 4
Vardas20168 Pavardė20168 1 5 0 9
Vardas20169 Pavardė20169 8 6 6 7
Vardas20170 Pavardė20170 0 9 0 9
Vardas20171 Pavardė20171 6 8 7 3
Vardas20172 Pavardė20172 6 4 0 7
Vardas20173 Pavardė20173 3 8 8 3
Vardas20174 Pavardė20174 3 2 8 0
Vardas20175 Pavardė20175 3 4 9 2
Vardas20176 Pavardė20176 8 2 7 8
Vardas20177 Pavardė20177 6 9 7 10
Vardas20178 Pavardė20178 7 4 10 7
Vardas20179 Pavardė20179 9 9 8 5
Vardas20180 Pavardė20180 7 9 4 0
Vardas20181 Pavardė20181 8 7 9 9
Vardas20182 Pavardė20182 5 5 1 9
Vardas20183 Pavardė20183 2 6 2 9
Vardas20184 Pavardė20184 0 9 3 0
Vardas20185 Pavardė20185 0 2 7 8
Vardas20186 Pavardė20186 8 6 5 2
Vardas20187 Pavardė20187 1 5 0 5
Vardas20188 Pavardė20188 4 3 0 4
Vardas20189 Pavardė20189 8 6 6 4
Vardas20190 Pavardė20190 7 2 1 8
Vardas20191 Pavardė20191 3 0 4 1
Vardas20192 Pavardė20192 10 10 3 6
Vardas20193 Pavardė20193 1 5 0 4
Vardas20194 Pavardė20194 3 6 1 8
Vardas20195 Pavardė20195 0 7 5 10
Vardas20196 Pavardė20196 1 10 2 5
Vardas20197 Pavardė20197 1 0 2 5
Vardas20198 Pavardė20198 0 5 7 4
Vardas20199 Pavardė20199 9 9 8 6
Vardas20200 Pavardė20200 10 3 1 6
Vardas20201 Pavardė20201 8 4 0 9
Vardas20202 Pavardė20202 0 9 6 2
Vardas20203 Pavardė20203 0 5 0 3
Vardas20204 Pavardė20204 4 5 8 0
Vardas20205 Pavardė20205 0 0 10 6
Vardas20206 Pavardė20206 8 7 2 9
Vardas20207 Pavardė20207 9 10 4 2
Vardas20208 Pavardė20208 10 8 4 9
Vardas20209 Pavardė20209 9 10 6 10
Vardas20210 Pavardė20210 1 9 7 5
Vardas20211 Pavardė20211 9 9 1 7
Vardas20212 Pavardė20212 5 1 4 5
Vardas20213 Pavardė20213 2 5 5 10
Vardas20214 Pavardė20214 10 10 3 1
Vardas20215 Pavardė20215 4 6 3 4
Vardas20216 Pavardė20216 3 8 1 1
Vardas20217 Pavardė20217 4 2 6 5
Vardas20218 Pavardė20218 3 4 7 0
Vardas20219 Pavardė20219 10 1 10 1
Vardas20220 Pavardė20220 10 10 0 2
Vardas20221 Pavardė20221 7 6 4 9
Vardas20222 Pavardė20222 9 0 4 10
Vardas20223 Pavardė20223 5 7 0 9
Vardas20224 Pavardė20224 10 7 4 8
Vardas20225 Pavardė20225 3 2 2 0
Vardas20226 Pavardė20226 4 10 7 6
Vardas20227 Pavardė20227 8 3 7 5
Vardas20228 Pavardė20228 9 3 2 5
Vardas20229 Pavardė20229 2 4 0 1
Vardas20230 Pavardė20230 2 0 7 2
Vardas20231 Pavardė20231 0 10 9 7
Vardas20232 Pavardė20232 0 4 8 4
Vardas20233 Pavardė20233 2 2 6 9
Vardas20234 Pavardė20234 3 7 3 3
Vardas20235 Pavardė20235 9 0 8 7
Vardas20236 Pavardė20236 8 4 2 5
Vardas20237 Pavardė20237 8 1 3 6
Vardas20238 Pavardė20238 5 9 3 2
Vardas20239 Pavardė20239 1 5 9 2
Vardas20240 Pavardė20240 6 1 6 1
Vardas20241 Pavardė20241 2 4 7 3
Vardas20242 Pavardė20242 8 1 3 6
Vardas20243 Pavardė20243 6 6 6 10
Vardas20244 Pavardė20244 7 9 7 7
Vardas20245 Pavardė20245 10 2 9 0
Vardas20246 Pavardė20246 4 0 4 3
Vardas20247 Pavardė20247 5 0 8 3
Vardas20248 Pavardė20248 6 8 8 0
Vardas20249 Pavardė20249 10 4 10 3
Vardas20250 Pavardė20250 4 6 9 3
Vardas20251 Pavardė20251 3 5 5 0
Vardas20252 Pavardė20252 1 9 7 4
Vardas20253 Pavardė20253 7 2 2 8
Vardas20254 Pavardė20254 1 6 9 8
Vardas20255 Pavardė20255 1 9 10 0
Vardas20256 Pavardė20256 0 3 5 1
Vardas20257 Pavardė20257 2 4 8 0
Vardas20258 Pavardė20258 2 9 0 4
Vardas20259 Pavardė20259 6 6 0 1
Vardas20260 Pavardė20260 1 5 3 8
Vardas20261 Pavardė20261 6 4 5 3
Vardas20262 Pavardė20262 4 1 4 8
Vardas20263 Pavardė20263 8 0 9 8
Vardas20264 Pavardė20264 10 5 8 0
Vardas20265 Pavardė20265 6 3 0 0
Vardas20266 Pavardė20266 5 5 2 5
Vardas20267 Pavardė20267 7 4 9 2
Vardas20268 Pavardė20268 10 0 10 5
Vardas20269 Pavardė20269 5 6 5 9
Vardas20270 Pavardė20270 4 10 0 0
Vardas20271 Pavardė20271 5 0 1 3
Vardas20272 Pavardė20272 0 1 2 4
Vardas20273 Pavardė20273 10 6 4 0
Vardas20274 Pavardė20274 3 4 1 4
Vardas20275 Pavardė20275 7 9 2 3
Vardas20276 Pavardė20276 6 6 1 7
Vardas20277 Pavardė20277 10 5 8 2
Vardas20278 Pavardė20278 7 7 0 4
Vardas20279 Pavardė20279 9 0 5 7
Vardas20280 Pavardė20280 4 8 4 7
Vardas20281 Pavardė20281 9 1 4 5
Vardas20282 Pavardė20282 0 3 6 2
Vardas20283 Pavardė20283 1 9 2 2
Vardas20284 Pavardė20284 5 9 7 5
Vardas20285 Pavardė20285 9 9 7 6
Vardas20286 Pavardė20286 5 0 9 3
Vardas20287 Pavardė20287 7 6 2 6
Vardas20288 Pavardė20288 8 2 3 2
Vardas20289 Pavardė20289 0 7 3 7
Vardas20290 Pavardė20290 4 5 7 4
Vardas20291 Pavardė20291 2 4 5 6
Vardas20292 Pavardė20292 3 0 6 9
Vardas20293 Pavardė20293 5 7 1 5
Vardas20294 Pavardė20294 3 10 1 3
Vardas20295 Pavardė20295 8 1 6 6
Vardas20296 Pavardė20296 10 1 0 1
Vardas20297 Pavardė20297 10 3 7 7
Vardas20298 Pavardė20298 8 6 9 10
Vardas20299 Pavardė20299 0 5 4 9
Vardas20300 Pavardė20300 4 10 0 9
Vardas20301 Pavardė20301 6 9 10 6
Vardas20302 Pavardė20302 2 10 9 7
Vardas20303 Pavardė20303 8 5 2 0
Vardas20304 Pavardė20304 8 6 10 1
Vardas20305 Pavardė20305 1 0 3 7
Vardas20306 Pavardė20306 9 0 4 9
Vardas20307 Pavardė20307 9 6 1 4
Vardas20308 Pavardė20308 7 1 6 7
Vardas20309 Pavardė20309 7 7 6 2
Vardas20310 Pavardė20310 8 3 2 5
Vardas20311 Pavardė20311 3 4 7 3
Vardas20312 Pavardė20312 1 3 6 5
Vardas20313 Pavardė20313 3 10 5 3
Vardas20314 Pavardė20314 1 0 1 9
Vardas20315 Pavardė20315 9 8 5 4
Vardas20316 Pavardė20316 2 5 8 2
Vardas20317 Pavardė20317 4 1 1 6
Vardas20318 Pavardė20318 9 8 4 5
Vardas20319 Pavardė20319 1 7 10 4
Vardas20320 Pavardė20320 3 6 7 6
Vardas20321 Pavardė20321 10 3 2 3
Vardas20322 Pavardė20322 0 10 10 6
Vardas20323 Pavardė20323 1 6 2 8
Vardas20324 Pavardė20324 8 8 6 6
Vardas20325 Pavardė20325 0 7 5 10
Vardas20326 Pavardė20326 0 8 1 10
Vardas20327 Pavardė20327 7 2 3 1
Vardas20328 Pavardė20328 6 4 3 1
Vardas20329 Pavardė20329 4 5 2 4
Vardas20330 Pavardė20330 9 1 2 5
Vardas20331 Pavardė20331 8 5 5 5
Vardas20332 Pavardė20332 6 0 1 0
Vardas20333 Pavardė20333 1 6 3 1
Vardas20334 Pavardė20334 1 4 1 0
Vardas20335 Pavardė20335 6 0 3 5
Vardas20336 Pavardė20336 2 2 6 1
Vardas20337 Pavardė20337 1 0 0 6
Vardas20338 Pavardė20338 3 3 2 0
Vardas20339 Pavardė20339 8 9 3 2
Vardas20340 Pavardė20340 2 2 7 6
Vardas20341 Pavardė20341 1 3 10 0
Vardas20342 Pavardė20342 6 0 3 7
Vardas20343 Pavardė20343 6 3 2 0
Vardas20344 Pavardė20344 0 2 1 1
Vardas20345 Pavardė20345 6 3 7 3
Vardas20346 Pavardė20346 6 8 6 2
Vardas20347 Pavardė20347 3 7 4 4
Vardas20348 Pavardė20348 9 7 8 1
Vardas20349 Pavardė20349 5 5 2 2
Vardas20350 Pavardė20350 1 10 1 7
Vardas20351 Pavardė20351 10 3 2 1
Vardas20352 Pavardė20352 5 10 4 10
Vardas20353 Pavardė20353 1 10 1 5
Vardas20354 Pavardė20354 10 7 2 2
Vardas20355 Pavardė20355 2 4 3 6
Vardas20356 Pavardė20356 1 4 3 3
Vardas20357 Pavardė20357 4 9 1 0
Vardas20358 Pavardė20358 3 10 8 8
Vardas20359 Pavardė20359 1 2 1 2
Vardas20360 Pavardė20360 2 8 3 7
Vardas20361 Pavardė20361 1 7 2 2
Vardas20362 Pavardė20362 9 4 10 6
Vardas20363 Pavardė20363 4 1 0 0
Vardas20364 Pavardė20364 10 10 0 8
Vardas20365 Pavardė20365 3 10 1 10
Vardas20366 Pavardė20366 8 2 0 5
Vardas20367 Pavardė20367 9 5 4 4
Vardas20368 Pavardė20368 8 7 0 9
Vardas20369 Pavardė20369 9 3 9 0
Vardas20370 Pavardė20370 7 2 2 2
Vardas20371 Pavardė20371 0 7 8 5
Vardas20372 Pavardė20372 9 6 3 8
Vardas20373 Pavardė20373 6 10 2 2
Vardas20374 Pavardė20374 9 1 8 0
Vardas20375 Pavardė20375 2 7 3 7
Vardas20376 Pavardė20376 7 0 8 1
Vardas20377 Pavardė20377 7 8 5 7
Vardas20378 Pavardė20378 3 9 5 5
Vardas20379 Pavardė20379 10 2 8 2
Vardas20380 Pavardė20380 10 10 6 8
Vardas20381 Pavardė20381 3 4 6 7
Vardas20382 Pavardė20382 3 8 1 9
Vardas20383 Pavardė20383 9 4 9 9
Vardas20384 Pavardė20384 3 10 2 9
Vardas20385 Pavardė20385 8 10 8 4
Vardas20386 Pavardė20386 3 7 5 2
Vardas20387 Pavardė20387 10 8 7 10
Vardas20388 Pavardė20388 6 7 3 7
Vardas20389 Pavardė20389 8 6 6 1
Vardas20390 Pavardė20390 2 5 3 8
Vardas20391 Pavardė20391 10 1 9 7
Vardas20392 Pavardė20392 3 1 10 5
Vardas20393 Pavardė20393 3 0 0 7
Vardas20394 Pavardė20394 6 6 0 10
Vardas20395 Pavardė20395 8 6 3 1
Vardas20396 Pavardė20396 8 4 6 6
Vardas20397 Pavardė20397 3 8 8 5
Vardas20398 Pavardė20398 3 0 9 9
Vardas20399 Pavardė20399 10 10 5 7
Vardas20400 Pavardė20400 9 8 10 9
Vardas20401 Pavardė20401 7 2 7 5
Vardas20402 Pavardė20402 7 1 5 4
Vardas20403 Pavardė20403 5 0 6 3
Vardas20404 Pavardė20404 10 10 3 0
Vardas20405 Pavardė20405 0 9 2 1
Vardas20406 Pavardė20406 8 8 7 8
Vardas20407 Pavardė20407 10 4 0 1
Vardas20408 Pavardė20408 5 8 6 2
Vardas20409 Pavardė20409 9 7 7 8
Vardas20410 Pavardė20410 2 5 0 10
Vardas20411 Pavardė20411 7 6 9 7
Vardas20412 Pavardė20412 8 3 9 9
Vardas20413 Pavardė20413 10 3 6 4
Vardas20414 Pavardė20414 1 5 7 2
Vardas20415 Pavardė20415 6 8 1 4
Vardas20416 Pavardė20416 4 5 0 0
Vardas20417 Pavardė20417 10 9 4 5
Vardas20418 Pavardė20418 8 4 2 8
Vardas20419 Pavardė20419 0 6 4 6
Vardas20420 Pavardė20420 7 3 7 4
Vardas20421 Pavardė20421 5 7 5 6
Vardas20422 Pavardė20422 6 8 0 2
Vardas20423 Pavardė20423 7 0 7 4
Vardas20424 Pavardė20424 3 0 10 1
Vardas20425 Pavardė20425 2 2 5 1
Vardas20426 Pavardė20426 0 0 0 1
Vardas20427 Pavardė20427 5 8 1 8
Vardas20428 Pavardė20428 6 2 6 1
Vardas20429 Pavardė20429 3 3 0 9
Vardas20430 Pavardė20430 6 9 0 6
Vardas20431 Pavardė20431 6 2 7 1
Vardas20432 Pavardė20432 10 2 3 9
Vardas20433 Pavardė20433 6 2 9 2
Vardas20434 Pavardė20434 3 4 4 6
Vardas20435 Pavardė20435 6 9 8 2
Vardas20436 Pavardė20436 7 0 4 9
Vardas20437 Pavardė20437 8 7 3 10
Vardas20438 Pavardė20438 2 3 6 10
Vardas20439 Pavardė20439 6 7 3 3
Vardas20440 Pavardė20440 9 10 0 9
Vardas20441 Pavardė20441 1 7 5 1
Vardas20442 Pavardė20442 4 10 5 5
Vardas20443 Pavardė20443 0 6 6 7
Vardas20444 Pavardė20444 8 3 4 10
Vardas20445 Pavardė20445 8 8 9 8
Vardas20446 Pavardė20446 8 4 2 7
Vardas20447 Pavardė20447 6 7 0 5
Vardas20448 Pavardė20448 3 2 5 9
Vardas20449 Pavardė20449 10 2 7 0
Vardas20450 Pavardė20450 4 10 8 10
Vardas20451 Pavardė20451 4 9 7 4
Vardas20452 Pavardė20452 9 1 0 0
Vardas20453 Pavardė20453 4 3 2 8
Vardas20454 Pavardė20454 4 0 2 1
Vardas20455 Pavardė20455 10 8 7 2
Vardas20456 Pavardė20456 4 4 1 2
Vardas20457 Pavardė20457 9 7 10 9
Vardas20458 Pavardė20458 0 9 0 9
Vardas20459 Pavardė20459 1 7 7 9
Vardas20460 Pavardė20460 9 0 7 9
Vardas20461 Pavardė20461 5 0 3 5
Vardas20462 Pavardė20462 5 9 8 5
Vardas20463 Pavardė20463 6 4 0 7
Vardas20464 Pavardė20464 2 7 7 5
Vardas20465 Pavardė20465 9 10 10 6
Vardas20466 Pavardė20466 6 1 1 1
Vardas20467 Pavardė20467 1 0 4 4
Vardas20468 Pavardė20468 8 6 4 10
Vardas20469 Pavardė20469 0 0 1 3
Vardas20470 Pavardė20470 10 8 4 7
Vardas20471 Pavardė20471 5 2 2 10
Vardas20472 Pavardė20472 2 3 1 7
Vardas20473 Pavardė20473 10 2 7 10
Vardas20474 Pavardė20474 6 5 2 2
Vardas20475 Pavardė20475 7 3 0 9
Vardas20476 Pavardė20476 3 7 2 7
Vardas20477 Pavardė20477 8 2 0 1
Vardas20478 Pavardė20478 0 6 10 5
Vardas20479 Pavardė20479 9 10 7 2
Vardas20480 Pavardė20480 1 9 6 0
Vardas20481 Pavardė20481 9 4 3 4
Vardas20482 Pavardė20482 10 6 5 10
Vardas20483 Pavardė20483 3 6 2 2
Vardas20484 Pavardė20484 4 6 1 1
Vardas20485 Pavardė20485 9 0 4 0
Vardas20486 Pavardė20486 6 5 2 7
Vardas20487 Pavardė20487 5 5 8 0
Vardas20488 Pavardė20488 3 10 4 2
Vardas20489 Pavardė20489 5 9 10 3
Vardas20490 Pavardė20490 7 4 5 4
Vardas20491 Pavardė20491 6 2 0 3
Vardas20492 Pavardė20492 9 7 10 7
Vardas20493 Pavardė20493 9 6 2 10
Vardas20494 Pavardė20494 10 4 3 7
Vardas20495 Pavardė20495 5 5 5 1
Vardas20496 Pavardė20496 5 10 1 2
Vardas20497 Pavardė20497 8 9 6 1
Vardas20498 Pavardė20498 3 5 1 10
Vardas20499 Pavardė20499 9 9 6 4
Vardas20500 Pavardė20500 5 5 1 9
Vardas20501 Pavardė20501 8 1 0 4
Vardas20502 Pavardė20502 10 7 8 0
Vardas20503 Pavardė20503 6 1 8 1
Vardas20504 Pavardė20504 1 9 6 4
Vardas20505 Pavardė20505 3 8 7 6
Vardas20506 Pavardė20506 7 2 4 4
Vardas20507 Pavardė20507 4 8 1 2
Vardas20508 Pavardė20508 9 2 8 6
Vardas20509 Pavardė20509 2 2 6 10
Vardas20510 Pavardė20510 8 4 1 8
Vardas20511 Pavardė20511 9 6 10 2
Vardas20512 Pavardė20512 6 2 10 3
Vardas20513 Pavardė20513 10 10 5 0
Vardas20514 Pavardė20514 7 5 4 10
Vardas20515 Pavardė20515 9 8 5 10
Vardas20516 Pavardė20516 10 9 10 4
Vardas20517 Pavardė20517 0 5 7 8
Vardas20518 Pavardė20518 0 4 2 10
Vardas20519 Pavardė20519 0 10 0 7
Vardas20520 Pavardė20520 4 3 3 10
Vardas20521 Pavardė20521 3 3 1 10
Vardas20522 Pavardė20522 6 7 6 9
Vardas20523 Pavardė20523 3 5 1 7
Vardas20524 Pavardė20524 1 8 10 9
Vardas20525 Pavardė20525 9 3 2 4
Vardas20526 Pavardė20526 0 7 0 5
Vardas20527 Pavardė20527 10 4 3 4
Vardas20528 Pavardė20528 10 7 1 9
Vardas20529 Pavardė20529 3 3 2 9
Vardas20530 Pavardė20530 6 8 7 2
Vardas20531 Pavardė20531 2 10 3 4
Vardas20532 Pavardė20532 4 2 4 0
Vardas20533 Pavardė20533 4 7 10 6
Vardas20534 Pavardė20534 3 0 10 2
Vardas20535 Pavardė20535 5 6 1 5
Vardas20536 Pavardė20536 7 10 2 5
Vardas20537 Pavardė20537 4 7 1 6
Vardas20538 Pavardė20538 8 5 5 0
Vardas20539 Pavardė20539 8 9 1 8
Vardas20540 Pavardė20540 10 6 1 3
Vardas20541 Pavardė20541 2 2 10 3
Vardas20542 Pavardė20542 10 1 2 5
Vardas20543 Pavardė20543 3 7 10 5
Vardas20544 Pavardė20544 10 10 4 1
Vardas20545 Pavardė20545 3 4 1 1
Vardas20546 Pavardė20546 1 0 0 8
Vardas20547 Pavardė20547 3 4 2 5
Vardas20548 Pavardė20548 8 3 0 5
Vardas20549 Pavardė20549 0 10 4 3
Vardas20550 Pavardė20550 7 9 7 0
Vardas20551 Pavardė20551 2 3 7 10
Vardas20552 Pavardė20552 9 2 8 10
Vardas20553 Pavardė20553 5 5 10 9
Vardas20554 Pavardė20554 10 2 8 3
Vardas20555 Pavardė20555 10 5 10 1
Vardas20556 Pavardė20556 1 1 6 3
